id_lot;production_date;vaccine_type;production_site;bioreactor_type;bioreactor_volume_l;raw_material_supplier;operator_shift;maintenance_status;sterilization_method;fermentation_time_hours;culture_temperature_c;ph_level;agitation_speed_rpm;oxygen_flow_rate_lpm;glucose_feed_rate_ml_min;nutrient_concentration_g_l;initial_cell_density_e6_ml;final_cell_density_e6_ml;lactate_level_g_l;bioreactor_pressure_psi;harvest_volume_l;filtration_pressure_bar;purification_duration_hours;chromatography_residence_time_min;buffer_ph;raw_material_purity_percent;enzyme_activity_u_ml;viscosity_cp;conductivity_ms_cm;moisture_content_percent;impurity_rate_ppm;endotoxin_level_eu_ml;purification_method;batch_quality_grade;vaccine_yield_g_l
LOT_2025_020;21-01-2025;viral_vector;Site_Beta;single_use;2000;ChemCorp_Global;Night;normal;gamma_irradiation;71.5;36.9;7.17;202;18.6;60.8;10.6;0.76;20.4;2.2;5.5;1910.2;1.5;22.6;6;7.1;98.8;1182;5;13.8;0.9;178;1;chromatography_ion_exchange;A;6.88
LOT_2025_021;22-01-2025;recombinant;Site_Gamma;stainless_steel;500;ChemCorp_Global;Day;recent;steam_in_place;96.8;36.5;7.11;182;8.6;30.5;9.6;0.61;18.8;1.7;4.3;485.2;1.4;18.6;5.2;7;98.3;1105;6.2;13.5;1.5;245;1.5;filtration_depth;B;5.55
LOT_2025_022;23-01-2025;mRNA;Site_Alpha;single_use;2000;NanoMaterials_Ltd;Night;maintenance;gamma_irradiation;45.5;37.6;7.15;135;10.5;40.5;7.8;0.45;10.5;1.8;4.5;1750.5;1.6;14.5;4.2;6.8;97.8;1120;4.8;13.2;1.8;250;0.9;chromatography_affinity;C;4.2
LOT_2025_023;24-01-2025;inactivated;Site_Alpha;stainless_steel;10000;BioSupplies_Inc;Day;normal;steam_in_place;118.5;37.2;7.05;352;45.4;150.8;14.3;1.21;42.8;5.1;12.5;9520.5;2.4;40.6;5.5;6.9;96.6;905;9.1;16.5;2.8;495;3.1;centrifugation;B;12.5
LOT_2025_024;25-01-2025;viral_vector;Site_Beta;stainless_steel;5000;ChemCorp_Global;Night;normal;steam_in_place;72.3;36.8;7.15;281;25.2;80.6;12.1;0.85;24.6;2.5;8.2;4610.2;1.8;24.2;6.2;7;98.5;1152;5.2;14.1;0.8;218;1.2;filtration_tangential;B;7.25
LOT_2025_025;26-01-2025;recombinant;Site_Gamma;single_use;1000;BioSupplies_Inc;Day;normal;gamma_irradiation;95.5;36.6;7.12;186;9.3;32.8;9.9;0.63;19.5;1.6;4.6;955.5;1.3;18.1;5.3;7.1;98.7;1118;6.1;13.4;1.4;235;1.4;filtration_depth;B;5.8
LOT_2025_026;27-01-2025;mRNA;Site_Alpha;single_use;2000;NanoMaterials_Ltd;Night;normal;gamma_irradiation;48.1;37;7.22;148;12.4;45;8.4;0.51;12.2;1.1;5;1842.5;1.2;12.2;4.5;7.2;99.4;1212;4.5;12.5;1.2;141;0.5;chromatography_affinity;A;4.9
LOT_2025_027;28-01-2025;viral_vector;Site_Beta;single_use;2000;ChemCorp_Global;Day;recent;gamma_irradiation;71;36.9;7.18;201;18.5;60.4;10.5;0.75;20.2;2.1;5.5;1905.1;1.5;22.5;6;7.1;98.8;1181;5;13.8;0.9;179;1;chromatography_ion_exchange;A;6.86
LOT_2025_028;29-01-2025;inactivated;Site_Gamma;stainless_steel;2000;BioSupplies_Inc;Day;overdue;steam_in_place;121.5;36.5;6.88;302;20.8;71.5;10.8;1.06;32.5;5.2;7.9;1860.5;2.6;37.5;5.6;6.7;95.8;885;8.3;15.7;3;580;3.4;centrifugation;C;8.75
LOT_2025_029;30-01-2025;mRNA;Site_Gamma;single_use;1000;NanoMaterials_Ltd;Night;normal;gamma_irradiation;47.5;37;7.2;146;11.9;44.6;8.2;0.5;11.9;1.1;4.9;925.5;1.1;11.9;4.4;7.2;99.5;1222;4.4;12.4;1.1;128;0.4;chromatography_affinity;A;4.93
LOT_2025_030;31-01-2025;recombinant;Site_Gamma;stainless_steel;500;ChemCorp_Global;Day;normal;steam_in_place;96.6;36.5;7.1;181;8.5;30.3;9.5;0.6;18.6;1.8;4.2;482.5;1.4;18.5;5.2;7;98.2;1102;6.2;13.5;1.5;248;1.5;filtration_depth;B;5.52
LOT_2025_031;1/2/25;viral_vector;Site_Beta;stainless_steel;5000;BioSupplies_Inc;Night;recent;steam_in_place;73;37.5;7.08;278;24.8;79.5;12;0.84;23.5;2.8;8.1;4580.5;2.2;24.8;6.1;6.9;98;1135;5.3;14.3;0.9;260;1.5;filtration_tangential;B;7.1
LOT_2025_032;2/2/25;inactivated;Site_Alpha;stainless_steel;5000;BioSupplies_Inc;Day;normal;steam_in_place;120.2;37.4;6.98;312;22.6;75.8;11.6;1.11;35.8;4.6;8.5;4780;2;36.2;5.8;6.9;97.3;955;8.5;15.2;2.4;445;2.5;centrifugation;C;9.3
LOT_2025_033;3/2/25;mRNA;Site_Alpha;single_use;2000;NanoMaterials_Ltd;Night;normal;gamma_irradiation;48.3;37;7.22;149;12.5;45.2;8.5;0.52;12.4;1.2;5.1;1850.5;1.2;12.4;4.5;7.2;99.4;1218;4.5;12.5;1.2;142;0.5;chromatography_affinity;A;4.92
LOT_2025_034;4/2/25;recombinant;Site_Alpha;single_use;1000;BioSupplies_Inc;Day;normal;gamma_irradiation;95.8;36.6;7.12;187;9.4;33;10;0.63;19.8;1.5;4.6;960.5;1.3;18.2;5.3;7.1;98.8;1120;6.1;13.4;1.4;230;1.4;filtration_depth;A;5.85
LOT_2025_035;5/2/25;viral_vector;Site_Beta;single_use;2000;ChemCorp_Global;Night;maintenance;gamma_irradiation;69.5;36.2;7.25;190;17.2;55.5;9.5;0.65;18.5;3;6.2;1800.5;2.1;20.5;5.8;6.9;97.5;1100;5.5;14.2;1.2;250;1.5;chromatography_ion_exchange;C;6.2
LOT_2025_036;6/2/25;inactivated;Site_Alpha;stainless_steel;10000;BioSupplies_Inc;Day;recent;steam_in_place;118.8;37.2;7.06;353;45.5;151.2;14.3;1.21;43;5;12.6;9550.5;2.3;40.4;5.5;6.9;96.7;908;9.1;16.4;2.8;490;3.1;centrifugation;B;12.55
LOT_2025_037;7/2/25;mRNA;Site_Gamma;single_use;1000;NanoMaterials_Ltd;Day;normal;gamma_irradiation;47.8;37;7.21;147;12;44.8;8.3;0.51;12;1.1;4.9;930.5;1.1;12;4.4;7.2;99.5;1225;4.4;12.4;1.1;125;0.4;chromatography_affinity;A;4.95
LOT_2025_038;8/2/25;viral_vector;Site_Beta;stainless_steel;5000;ChemCorp_Global;Night;overdue;steam_in_place;74;37.9;7;270;24;77.5;11.5;0.8;21.5;3.5;8;4500.5;2.8;25.5;6;6.7;97.2;1110;5.5;14.6;1.2;320;2;filtration_tangential;C;6.8
LOT_2025_039;9/2/25;recombinant;Site_Gamma;stainless_steel;500;ChemCorp_Global;Day;normal;steam_in_place;96.7;36.5;7.1;181;8.5;30.4;9.5;0.6;18.7;1.8;4.2;483.5;1.4;18.5;5.2;7;98.2;1103;6.2;13.5;1.5;247;1.5;filtration_depth;B;5.53
LOT_2025_040;10/2/25;mRNA;Site_Alpha;single_use;2000;NanoMaterials_Ltd;Night;recent;gamma_irradiation;48.5;37.1;7.22;150;12.5;45.3;8.5;0.52;12.4;1.2;5.1;1852.5;1.2;12.4;4.5;7.1;99.3;1218;4.5;12.5;1.2;143;0.5;chromatography_affinity;A;4.89
LOT_2025_041;11/2/25;inactivated;Site_Gamma;stainless_steel;2000;BioSupplies_Inc;Day;normal;steam_in_place;121.8;36.4;6.87;301;20.6;70.8;10.7;1.05;32.3;5.4;7.8;1855.5;2.7;37.8;5.6;6.7;95.6;882;8.2;15.8;3;590;3.4;centrifugation;C;8.6
LOT_2025_042;12/2/25;viral_vector;Site_Beta;single_use;2000;ChemCorp_Global;Night;normal;gamma_irradiation;71.1;36.9;7.17;202;18.5;60.5;10.6;0.76;20.3;2.1;5.5;1908.2;1.5;22.5;6;7.1;98.8;1182;5;13.8;0.9;178;1;chromatography_ion_exchange;A;6.87
LOT_2025_043;13-02-2025;recombinant;Site_Alpha;single_use;1000;BioSupplies_Inc;Day;recent;gamma_irradiation;95.4;36.6;7.12;185;9.2;32.6;9.8;0.62;19.3;1.6;4.5;952.5;1.3;18;5.3;7.1;98.6;1116;6.1;13.4;1.4;238;1.4;filtration_depth;B;5.78
LOT_2025_044;14-02-2025;mRNA;Site_Gamma;single_use;1000;NanoMaterials_Ltd;Night;normal;gamma_irradiation;47.6;37;7.2;146;11.9;44.7;8.2;0.5;11.9;1.1;4.9;928.5;1.1;11.9;4.4;7.2;99.5;1223;4.4;12.4;1.1;127;0.4;chromatography_affinity;A;4.94
LOT_2025_045;15-02-2025;inactivated;Site_Alpha;stainless_steel;5000;BioSupplies_Inc;Day;overdue;steam_in_place;120;37.5;6.92;308;22;74.5;11.2;1.08;34.5;4.9;8.4;4700.5;2.2;35.5;5.7;6.8;97;940;8.5;15.1;2.6;460;2.6;centrifugation;C;9
LOT_2025_046;16-02-2025;viral_vector;Site_Beta;stainless_steel;5000;ChemCorp_Global;Night;normal;steam_in_place;72.4;36.8;7.15;281;25.2;80.7;12.1;0.86;24.7;2.5;8.2;4615.5;1.8;24.2;6.2;7;98.6;1153;5.2;14.1;0.8;217;1.2;filtration_tangential;B;7.26
LOT_2025_047;17-02-2025;recombinant;Site_Gamma;stainless_steel;500;ChemCorp_Global;Day;normal;steam_in_place;96.9;36.5;7.11;182;8.6;30.6;9.6;0.61;18.9;1.7;4.3;486.5;1.4;18.6;5.2;7;98.3;1106;6.2;13.5;1.5;244;1.5;filtration_depth;B;5.56
LOT_2025_048;18-02-2025;mRNA;Site_Alpha;single_use;2000;NanoMaterials_Ltd;Night;normal;gamma_irradiation;48.4;37.1;7.22;150;12.5;45.2;8.5;0.52;12.4;1.2;5.1;1851.5;1.2;12.5;4.5;7.1;99.3;1219;4.5;12.5;1.2;142;0.5;chromatography_affinity;A;4.89
LOT_2025_049;19-02-2025;inactivated;Site_Alpha;stainless_steel;10000;BioSupplies_Inc;Day;recent;steam_in_place;119.2;37.2;7.06;354;45.6;151.8;14.4;1.22;43.1;5;12.6;9580.5;2.3;40.3;5.5;6.9;96.7;909;9.2;16.4;2.7;485;3;centrifugation;B;12.6
LOT_2025_050;20-02-2025;viral_vector;Site_Beta;single_use;2000;ChemCorp_Global;Night;normal;gamma_irradiation;71.4;36.9;7.17;202;18.6;60.7;10.6;0.76;20.4;2.2;5.5;1909.2;1.5;22.6;6;7.1;98.8;1182;5;13.8;0.9;178;1;chromatography_ion_exchange;A;6.88
LOT_2025_051;21-02-2025;recombinant;Site_Alpha;single_use;1000;BioSupplies_Inc;Day;maintenance;gamma_irradiation;93.5;36.8;7.08;175;8.5;28.5;9;0.55;17.5;2;4.2;900.5;1.6;17.5;5.1;6.9;97.8;1050;6;13.2;1.6;280;1.8;filtration_depth;C;5.2
LOT_2025_052;22-02-2025;mRNA;Site_Gamma;single_use;1000;NanoMaterials_Ltd;Night;normal;gamma_irradiation;47.9;37;7.21;147;12;44.9;8.3;0.51;12;1.1;4.9;932.5;1.1;12;4.4;7.2;99.5;1226;4.4;12.4;1.1;124;0.4;chromatography_affinity;A;4.96
LOT_2025_053;23-02-2025;inactivated;Site_Alpha;stainless_steel;5000;BioSupplies_Inc;Day;normal;steam_in_place;120.5;37.3;7;314;22.7;76;11.7;1.12;36.2;4.5;8.6;4790;2;36.4;5.8;6.9;97.4;958;8.6;15.3;2.4;442;2.4;centrifugation;B;9.4
LOT_2025_054;24-02-2025;viral_vector;Site_Beta;stainless_steel;5000;ChemCorp_Global;Night;recent;steam_in_place;72.8;36.9;7.14;285;25.5;81.5;12.3;0.88;25.2;2.3;8.4;4650.5;1.7;24.5;6.3;7;98.8;1160;5.1;14;0.8;210;1.1;filtration_tangential;A;7.35
LOT_2025_055;25-02-2025;recombinant;Site_Gamma;stainless_steel;500;ChemCorp_Global;Day;normal;steam_in_place;96.4;36.5;7.1;180;8.5;30.2;9.5;0.6;18.5;1.8;4.2;481.5;1.4;18.5;5.2;7;98.2;1101;6.2;13.5;1.5;249;1.5;filtration_depth;B;5.51
LOT_2025_056;26-02-2025;mRNA;Site_Alpha;single_use;2000;NanoMaterials_Ltd;Night;overdue;gamma_irradiation;46.8;37.3;7.18;142;11.5;42.5;8.1;0.49;11.5;1.4;4.9;1800.5;1.4;12.8;4.3;7;98.5;1180;4.6;12.8;1.4;180;0.7;chromatography_affinity;B;4.65
LOT_2025_057;27-02-2025;inactivated;Site_Gamma;stainless_steel;2000;BioSupplies_Inc;Day;normal;steam_in_place;122;36.4;6.86;301;20.6;70.5;10.6;1.05;32.2;5.4;7.8;1852.5;2.7;37.6;5.6;6.7;95.5;881;8.2;15.8;3;595;3.4;centrifugation;C;8.55
LOT_2025_058;28-02-2025;viral_vector;Site_Beta;single_use;2000;ChemCorp_Global;Night;normal;gamma_irradiation;71.3;36.9;7.17;202;18.6;60.6;10.6;0.76;20.3;2.2;5.5;1908.8;1.5;22.6;6;7.1;98.8;1182;5;13.8;0.9;178;1;chromatography_ion_exchange;A;6.87
LOT_2025_059;1/3/25;recombinant;Site_Alpha;single_use;1000;BioSupplies_Inc;Day;recent;gamma_irradiation;95.6;36.6;7.12;186;9.3;32.9;9.9;0.63;19.6;1.6;4.6;958.5;1.3;18.1;5.3;7.1;98.7;1119;6.1;13.4;1.4;234;1.4;filtration_depth;A;5.82
LOT_2025_060;2/3/25;mRNA;Site_Gamma;single_use;1000;NanoMaterials_Ltd;Night;normal;gamma_irradiation;47.7;37;7.2;146;11.9;44.7;8.2;0.5;11.9;1.1;4.9;929.5;1.1;11.9;4.4;7.2;99.5;1224;4.4;12.4;1.1;126;0.4;chromatography_affinity;A;4.95
LOT_2025_061;3/3/25;inactivated;Site_Alpha;stainless_steel;10000;BioSupplies_Inc;Day;maintenance;steam_in_place;116.5;37.6;6.95;340;40.5;140.5;13.5;1.15;39.5;5.5;11.5;9200.5;2.6;41.5;5.3;6.8;96;850;9.5;16.8;3.2;550;3.5;centrifugation;C;11.5
LOT_2025_062;4/3/25;viral_vector;Site_Beta;stainless_steel;5000;ChemCorp_Global;Night;normal;steam_in_place;72.6;36.8;7.15;282;25.3;80.9;12.2;0.86;24.9;2.4;8.3;4625.5;1.8;24.3;6.2;7;98.6;1154;5.2;14.2;0.8;216;1.2;filtration_tangential;A;7.29
LOT_2025_063;5/3/25;recombinant;Site_Gamma;stainless_steel;500;ChemCorp_Global;Day;normal;steam_in_place;97;36.5;7.11;183;8.6;30.7;9.6;0.61;19;1.7;4.3;487.5;1.4;18.6;5.2;7;98.3;1107;6.2;13.5;1.5;243;1.5;filtration_depth;B;5.57
LOT_2025_064;6/3/25;mRNA;Site_Alpha;single_use;2000;NanoMaterials_Ltd;Night;recent;gamma_irradiation;48.6;37.1;7.22;150;12.5;45.4;8.5;0.52;12.5;1.2;5.1;1853.5;1.2;12.5;4.5;7.1;99.3;1220;4.5;12.5;1.2;141;0.5;chromatography_affinity;A;4.9
LOT_2025_065;7/3/25;inactivated;Site_Alpha;stainless_steel;5000;BioSupplies_Inc;Day;normal;steam_in_place;120.4;37.3;6.99;313;22.7;75.9;11.7;1.11;36;4.6;8.6;4785;2;36.3;5.8;6.9;97.4;957;8.6;15.3;2.4;443;2.4;centrifugation;B;9.35
LOT_2025_066;8/3/25;viral_vector;Site_Beta;single_use;2000;ChemCorp_Global;Night;overdue;gamma_irradiation;70;36.5;7.22;195;17.8;58.5;10;0.7;19.2;2.6;5.8;1850.5;1.9;21.5;5.9;7;98;1140;5.3;14;1.1;230;1.3;chromatography_ion_exchange;C;6.5
LOT_2025_067;9/3/25;recombinant;Site_Alpha;single_use;1000;BioSupplies_Inc;Day;normal;gamma_irradiation;95.9;36.6;7.12;187;9.4;33.1;10;0.63;19.9;1.5;4.6;962.5;1.3;18.2;5.3;7.1;98.8;1121;6.1;13.4;1.4;229;1.4;filtration_depth;A;5.86
LOT_2025_068;10/3/25;mRNA;Site_Gamma;single_use;1000;NanoMaterials_Ltd;Night;normal;gamma_irradiation;47.4;37;7.2;145;11.8;44.5;8.2;0.5;11.8;1.1;4.9;926.5;1.1;11.9;4.4;7.2;99.5;1221;4.4;12.4;1.1;129;0.4;chromatography_affinity;A;4.92
LOT_2025_069;11/3/25;inactivated;Site_Gamma;stainless_steel;2000;BioSupplies_Inc;Day;recent;steam_in_place;122.2;36.5;6.89;303;20.9;71.8;10.9;1.07;32.8;5.1;7.9;1865.5;2.6;37.4;5.6;6.7;96;890;8.3;15.7;2.9;570;3.3;centrifugation;B;8.9
LOT_2025_070;12/3/25;viral_vector;Site_Beta;stainless_steel;5000;ChemCorp_Global;Night;normal;steam_in_place;72.7;36.8;7.15;283;25.4;81;12.2;0.87;25;2.4;8.3;4630.5;1.8;24.4;6.2;7;98.7;1156;5.2;14.2;0.8;214;1.1;filtration_tangential;A;7.3
LOT_2025_071;13-03-2025;recombinant;Site_Gamma;stainless_steel;500;ChemCorp_Global;Day;normal;steam_in_place;96.8;36.5;7.1;182;8.6;30.5;9.6;0.61;18.8;1.8;4.3;485.5;1.4;18.6;5.2;7;98.2;1104;6.2;13.5;1.5;246;1.5;filtration_depth;B;5.54
LOT_2025_072;14-03-2025;mRNA;Site_Alpha;single_use;2000;NanoMaterials_Ltd;Night;normal;gamma_irradiation;48.2;37;7.22;149;12.5;45.1;8.5;0.52;12.3;1.2;5.1;1848.5;1.2;12.3;4.5;7.2;99.4;1216;4.5;12.5;1.2;142;0.5;chromatography_affinity;A;4.91
LOT_2025_073;15-03-2025;inactivated;Site_Alpha;stainless_steel;10000;BioSupplies_Inc;Day;recent;steam_in_place;119;37.2;7.06;354;45.6;151.5;14.4;1.22;43.1;5;12.6;9560.5;2.3;40.3;5.5;6.9;96.7;909;9.2;16.4;2.7;485;3;centrifugation;B;12.58
LOT_2025_074;16-03-2025;viral_vector;Site_Beta;single_use;2000;ChemCorp_Global;Night;normal;gamma_irradiation;71.2;36.9;7.17;202;18.6;60.5;10.6;0.76;20.3;2.2;5.5;1908.5;1.5;22.6;6;7.1;98.8;1182;5;13.8;0.9;178;1;chromatography_ion_exchange;A;6.87
LOT_2025_075;17-03-2025;recombinant;Site_Alpha;single_use;1000;BioSupplies_Inc;Day;normal;gamma_irradiation;95.7;36.6;7.12;186;9.3;32.9;9.9;0.63;19.7;1.6;4.6;959.5;1.3;18.1;5.3;7.1;98.7;1120;6.1;13.4;1.4;232;1.4;filtration_depth;A;5.83
LOT_2025_076;18-03-2025;mRNA;Site_Gamma;single_use;1000;NanoMaterials_Ltd;Night;maintenance;gamma_irradiation;45.8;37.6;7.16;138;10.8;41.2;7.9;0.46;10.8;1.7;4.6;1760.5;1.5;14.2;4.2;6.9;97.9;1125;4.7;13.1;1.7;245;0.9;chromatography_affinity;C;4.25
LOT_2025_077;19-03-2025;inactivated;Site_Alpha;stainless_steel;5000;BioSupplies_Inc;Day;normal;steam_in_place;120.3;37.3;6.99;313;22.7;75.9;11.7;1.11;35.9;4.6;8.6;4782;2;36.3;5.8;6.9;97.3;956;8.6;15.2;2.4;444;2.5;centrifugation;B;9.32
LOT_2025_078;20-03-2025;viral_vector;Site_Beta;stainless_steel;5000;ChemCorp_Global;Night;normal;steam_in_place;72.5;36.8;7.15;282;25.3;80.8;12.2;0.86;24.8;2.4;8.3;4622.5;1.8;24.3;6.2;7;98.6;1155;5.2;14.2;0.8;215;1.2;filtration_tangential;A;7.28
LOT_2025_079;21-03-2025;recombinant;Site_Gamma;stainless_steel;500;ChemCorp_Global;Day;overdue;steam_in_place;94.5;36.2;7.03;176;8.2;28.8;9.3;0.58;17.8;2;4.1;465.5;1.7;19.2;5;6.9;97.6;1060;6.4;13.7;1.7;290;1.7;filtration_depth;C;5.15
LOT_2025_080;22-03-2025;mRNA;Site_Alpha;single_use;2000;NanoMaterials_Ltd;Night;recent;gamma_irradiation;48.7;37.1;7.22;150;12.5;45.4;8.5;0.52;12.5;1.2;5.1;1854.5;1.2;12.5;4.5;7.1;99.3;1221;4.5;12.5;1.2;140;0.5;chromatography_affinity;A;4.91
LOT_2025_081;23-03-2025;inactivated;Site_Gamma;stainless_steel;2000;BioSupplies_Inc;Day;normal;steam_in_place;121.9;36.4;6.87;301;20.6;70.6;10.7;1.05;32.3;5.4;7.8;1854.5;2.7;37.7;5.6;6.7;95.6;882;8.2;15.8;3;592;3.4;centrifugation;C;8.58
LOT_2025_082;24-03-2025;viral_vector;Site_Beta;single_use;2000;ChemCorp_Global;Night;normal;gamma_irradiation;71.3;36.9;7.17;202;18.6;60.6;10.6;0.76;20.3;2.2;5.5;1908.5;1.5;22.6;6;7.1;98.8;1182;5;13.8;0.9;178;1;chromatography_ion_exchange;A;6.87
